SessionName,Subject,Path,Strain,GeneticLine,Behavior,numCells,brainRegions,Drug,Project
ipo16559_090623_sess1,ipo16559,ipo16559\ipo16559_090623_sess1,c57b1/6,wild type,open field,44,CA1sp PTLp CA1sr CA1slm CA3,no,MK801Project
ipo16559_120623_sess2,ipo16559,ipo16559\ipo16559_120623_sess2,c57b1/6,wild type,open field,66,PTLp CA1 CA3,no,MK801Project
ipo14369_090623_sess1,ipo14369,ipo14369\ipo14369_090623_sess1,c57b1/6,glun3,open field,63,CA1 PTLp CA3,no,MK801Project
ipo16559_130623_sess3,ipo16559,ipo16559\ipo16559_130623_sess3,c57b1/6,wild type,open field,89,CA1 PTLp CA3,no,MK801Project
ipo14370_160623_sess1,ipo14370,ipo14370\ipo14370_160623_sess1,c57b1/6,wild type,open field,82,CA1 PTLp CA3,no,MK801Project
ipo16559_140623_sess4,ipo16559,ipo16559\ipo16559_140623_sess4,c57b1/6,wild type,ymaze,99,CA1 CA3 PTLp,no,MK801Project
ipo16559_150623_sess5,ipo16559,ipo16559\ipo16559_150623_sess5,c57b1/6,wild type,ymaze sample,94,CA1 PTLp CA3,no,MK801Project
ipo14369_060723_sess9,ipo14369,ipo14369\ipo14369_060723_sess9,c57b1/6,glun3,open field,104,CA1 PTLp CA3,no,MK801Project
ipo14370_220623_sess3,ipo14370,ipo14370\ipo14370_220623_sess3,c57b1/6,wild type,open field,26,CA1 PTLp CA3,no,MK801Project
ipo14370_190623_sess2,ipo14370,ipo14370\ipo14370_190623_sess2,c57b1/6,wild type,open field,64,CA1 PTLp CA3,no,MK801Project
ipo11700_120623_sess2,ipo11700,ipo11700\ipo11700_120623_sess2,c57b1/6,glun3,open field,76,CA1 PTLp CA3,no,MK801Project
ipo14369_070723_sess10,ipo14369,ipo14369\ipo14369_070723_sess10,c57b1/6,glun3,open field,80,CA1 PTLp CA3,no,MK801Project
ipo14369_050723_sess8,ipo14369,ipo14369\ipo14369_050723_sess8,c57b1/6,glun3,open field,114,CA1 PTLp CA3,no,MK801Project
ipo11700_090623_sess1,ipo11700,ipo11700\ipo11700_090623_sess1,c57b1/6,glun3,open field,59,PTLp CA1 CA3,no,MK801Project
ipo14370_070723_sess10,ipo14370,ipo14370\ipo14370_070723_sess10,c57b1/6,wild type,open field,83,CA1 PTLp CA3,no,MK801Project
ipo11700_130623_sess3,ipo11700,ipo11700\ipo11700_130623_sess3,c57b1/6,glun3,open field,78,CA1 PTLp CA3,no,MK801Project
